County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misdemeanor,DWI Misdemeanor,Property Misdemeanor,Other Misdemeanor
Albany,2015,7412,2590,509,533,161,1387,4822,692,1173,1531,1426
Allegany,2015,792,209,33,39,38,99,583,43,136,161,243
Bronx,2015,59576,16121,4333,5623,156,6009,43455,10988,921,14389,17157
Broome,2015,4968,1532,216,389,91,836,3436,566,336,1431,1103
Cattaraugus,2015,1516,439,103,86,47,203,1077,78,274,313,412
Cayuga,2015,1327,431,68,57,27,279,896,85,193,308,310
Chautauqua,2015,3262,889,180,189,90,430,2373,247,503,739,884
Chemung,2015,1903,482,94,80,55,253,1421,208,217,528,468
Chenango,2015,778,245,51,34,18,142,533,58,105,179,191
Clinton,2015,1942,516,113,85,53,265,1426,129,345,530,422
Columbia,2015,1082,264,43,45,38,138,818,137,153,232,296
Cortland,2015,1335,372,61,67,31,213,963,113,149,336,365
Delaware,2015,892,221,32,39,28,122,671,64,144,193,270
Dutchess,2015,4683,1411,182,287,160,782,3272,450,913,938,971
Erie,2015,21815,6367,869,1840,364,3294,15448,3386,1974,4693,5395
Essex,2015,615,182,36,26,19,101,433,46,133,80,174
Franklin,2015,1121,323,56,47,40,180,798,48,193,238,319
Fulton,2015,1185,376,42,66,41,227,809,60,186,259,304
Genesee,2015,1395,401,45,73,41,242,994,114,209,315,356
Greene,2015,1275,350,76,47,44,183,925,142,313,205,265
Hamilton,2015,63,13,2,1,2,8,50,3,19,11,17
Herkimer,2015,1179,303,39,46,43,175,876,76,190,286,324
Jefferson,2015,2465,616,110,100,45,361,1849,117,342,772,618
Kings,2015,68195,23876,3936,7266,236,12438,44319,10520,1556,16314,15929
Lewis,2015,316,100,24,22,14,40,216,17,51,56,92
Livingston,2015,1290,407,60,65,52,230,883,158,225,197,303
Madison,2015,1163,312,45,47,37,183,851,79,171,266,335
Monroe,2015,14503,4356,529,1064,428,2335,10147,769,1893,4111,3374
Montgomery,2015,1126,321,56,60,28,177,805,70,124,307,304
Nassau,2015,15827,4944,811,1176,291,2666,10883,2794,2095,2899,3095
New York,2015,67721,17493,3924,3838,103,9628,50228,11103,1528,24088,13509
Niagara,2015,4815,1417,220,372,107,718,3398,352,607,1111,1328
Oneida,2015,5173,1217,264,240,85,628,3956,463,509,1614,1370
Onondaga,2015,10331,3436,557,832,172,1875,6895,1149,956,2697,2093
