County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misdemeanor,DWI Misdemeanor,Property Misdemeanor,Other Misdemeanor,Less_than_9th_grade,With_disability,Civilian_veterans,Limited_English,Total_housing_units,With_mortgage,Without_mortgage,Unemployment_rate,Median_household_income,Below_poverty_level,No_health_insurance
Albany,2015,7412,2590,509,533,161,1387,4822,692,1173,1531,1426,4979,11.2,6.7,3.9,138081,64,36,6.4,59887,12.6,6
Allegany,2015,792,209,33,39,38,99,583,43,136,161,243,1035,15.2,10.9,1.3,26024,49.6,50.4,9.2,42776,14.5,9.1
Bronx,2015,59576,16121,4333,5623,156,6009,43455,10988,921,14389,17157,134663,13.6,2.9,25.8,520329,61.6,38.4,14,34299,26.6,13.7
Broome,2015,4968,1532,216,389,91,836,3436,566,336,1431,1103,3632,14.4,8.5,3.1,90026,56,44,7.8,46261,16.2,7
Cattaraugus,2015,1516,439,103,86,47,203,1077,78,274,313,412,2358,15.1,11.6,2,41034,50.8,49.2,8.2,42601,15.4,10.2
Cayuga,2015,1327,431,68,57,27,279,896,85,193,308,310,1483,13.9,9.9,1.5,36405,59.3,40.7,7.3,52082,10.4,8.4
Chautauqua,2015,3262,889,180,189,90,430,2373,247,503,739,884,3519,15.2,9.8,2.8,66741,53.7,46.3,7.8,42993,15.9,7.7
Chemung,2015,1903,482,94,80,55,253,1421,208,217,528,468,1388,13.5,9.5,0.8,38382,60.1,39.9,5.4,50320,13.9,6.7
Chenango,2015,778,245,51,34,18,142,533,58,105,179,191,1249,17.7,9.5,1.1,24742,50.4,49.6,7.1,45668,13.8,9
Clinton,2015,1942,516,113,85,53,265,1426,129,345,530,422,2973,15,9.9,1.6,35918,55,45,6.9,49930,15.1,6.1
Columbia,2015,1082,264,43,45,38,138,818,137,153,232,296,1475,15.7,9.3,2.2,32802,58.3,41.7,6.7,59105,10.6,6.7
Cortland,2015,1335,372,61,67,31,213,963,113,149,336,365,887,12.9,8.4,1.3,20527,55.7,44.3,6.1,49514,14.5,6.5
Delaware,2015,892,221,32,39,28,122,671,64,144,193,270,1191,16.6,9.6,1.5,31202,48.3,51.7,9.5,43720,12.7,9.1
Dutchess,2015,4683,1411,182,287,160,782,3272,450,913,938,971,7273,13.1,7.2,5.3,118996,69.6,30.4,8.7,71904,8.7,7.7
Erie,2015,21815,6367,869,1840,364,3294,15448,3386,1974,4693,5395,19711,13.1,8.2,3.4,420782,62.4,37.6,7,51247,12.9,5.7
Essex,2015,615,182,36,26,19,101,433,46,133,80,174,1051,16.1,11.4,2.2,25678,50.6,49.4,7.9,52758,9.6,8
Franklin,2015,1121,323,56,47,40,180,798,48,193,238,319,1724,14.6,9.4,2.3,25293,50.4,49.6,8.8,47923,17.5,10.3
Fulton,2015,1185,376,42,66,41,227,809,60,186,259,304,1467,16.1,9.4,1.4,28617,54.4,45.6,9.3,46969,15.2,9.4
Genesee,2015,1395,401,45,73,41,242,994,114,209,315,356,987,13.4,9.4,1.1,25636,60.5,39.5,6.7,50880,11.3,7.7
Greene,2015,1275,350,76,47,44,183,925,142,313,205,265,1126,15.7,9.6,2.6,29276,56.9,43.1,9.1,50278,11.9,7.6
Hamilton,2015,63,13,2,1,2,8,50,3,19,11,17,178,17.1,15.3,1.4,8757,39.9,60.1,9.7,48243,12.7,10.3
Herkimer,2015,1179,303,39,46,43,175,876,76,190,286,324,1413,13.9,10.3,1.8,33345,52.1,47.9,8.7,46229,12.6,8.6
Jefferson,2015,2465,616,110,100,45,361,1849,117,342,772,618,1845,13.4,14,1.5,58536,61.3,38.7,10.6,49505,12.5,8.1
Kings,2015,68195,23876,3936,7266,236,12438,44319,10520,1556,16314,15929,178723,9.9,2.3,23.6,1017282,63.2,36.8,10,48201,20.3,12
Lewis,2015,316,100,24,22,14,40,216,17,51,56,92,560,14,10.9,0.9,15249,51.4,48.6,8.3,49819,10.6,9.9
Livingston,2015,1290,407,60,65,52,230,883,158,225,197,303,1235,12.7,9,1.6,27249,61.1,38.9,5.4,51734,13.7,5.8
Madison,2015,1163,312,45,47,37,183,851,79,171,266,335,1475,11.4,9.4,0.8,31742,61.6,38.4,5.1,54145,10.6,5.7
Monroe,2015,14503,4356,529,1064,428,2335,10147,769,1893,4111,3374,16392,12.6,6.9,4.9,323313,67.7,32.3,7.7,52553,13,6.1
Montgomery,2015,1126,321,56,60,28,177,805,70,124,307,304,1644,15.5,8.9,4.1,23184,54,46,8.9,43764,17.2,8.9
Nassau,2015,15827,4944,811,1176,291,2666,10883,2794,2095,2899,3095,43562,8.4,5.2,11.6,467256,65.3,34.7,6.4,99465,5.6,7.5
New York,2015,67721,17493,3924,3838,103,9628,50228,11103,1528,24088,13509,894391,11.1,5.4,13.5,8171725,63.2,36.8,8.2,59269,13.9,9.7
New York,2015,67721,17493,3924,3838,103,9628,50228,11103,1528,24088,13509,894391,11.1,5.4,13.5,8171725,63.2,36.8,7.5,72871,16.8,8.9
New York,2015,67721,17493,3924,3838,103,9628,50228,11103,1528,24088,13509,894391,11.1,5.4,13.5,862289,53.3,46.7,8.2,59269,13.9,9.7
New York,2015,67721,17493,3924,3838,103,9628,50228,11103,1528,24088,13509,894391,11.1,5.4,13.5,862289,53.3,46.7,7.5,72871,16.8,8.9
New York,2015,67721,17493,3924,3838,103,9628,50228,11103,1528,24088,13509,88770,9.8,2.5,15.8,8171725,63.2,36.8,8.2,59269,13.9,9.7
New York,2015,67721,17493,3924,3838,103,9628,50228,11103,1528,24088,13509,88770,9.8,2.5,15.8,8171725,63.2,36.8,7.5,72871,16.8,8.9
New York,2015,67721,17493,3924,3838,103,9628,50228,11103,1528,24088,13509,88770,9.8,2.5,15.8,862289,53.3,46.7,8.2,59269,13.9,9.7
New York,2015,67721,17493,3924,3838,103,9628,50228,11103,1528,24088,13509,88770,9.8,2.5,15.8,862289,53.3,46.7,7.5,72871,16.8,8.9
Niagara,2015,4815,1417,220,372,107,718,3398,352,607,1111,1328,3997,13.4,9,1.4,99170,58.7,41.3,7.6,49449,12.1,6.3
Oneida,2015,5173,1217,264,240,85,628,3956,463,509,1614,1370,7513,15.6,9.9,5.2,104006,57.4,42.6,7.4,48246,14.1,6.6
